Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Jenni Poulin	F	So	25	12	9	21	0.8400	10	23	2	2	0	0
Gabby Crugnale	F	Fr	21	10	10	20	0.9524	5	10	3	2	0	0
Emily Corrales	F	Fr	25	9	9	18	0.7200	6	12	1	0	0	0
Shannon Smith	F	Fr	25	6	7	13	0.5200	2	4	1	1	1	0
Cassandra Connolly	D	Fr	25	1	9	10	0.4000	19	38	0	0	0	0
Marissa Clifford-Biederman	F	So	25	4	5	9	0.3600	5	10	1	1	0	0
Gabriella Moscato	F	Fr	25	1	7	8	0.3200	0	0	0	0	0	0
Melissa Boudreau	D	Fr	19	1	6	7	0.3684	7	14	0	1	0	0
Mary Wirth	F	Fr	25	3	2	5	0.2000	6	12	1	0	0	0
Amy Curry	D	Fr	21	3	1	4	0.1905	10	20	0	1	2	0
Abby Kinens	F	Fr	25	2	1	3	0.1200	0	0	0	0	0	0
Richelle Skarbowski	D	Fr	24	1	2	3	0.1250	21	42	0	0	0	0
Shannon Reynolds	F	So	25	1	2	3	0.1200	1	2	0	0	0	0
Jaclyn Bria	D	Jr	25	1	1	2	0.0800	12	24	0	1	0	0
Lilly Henjes	F	Fr	25	1	1	2	0.0800	2	4	0	1	0	0
Rachel Schwaner	D	So	23	0	2	2	0.0870	0	0	0	0	0	0
Hannah Tarr	F	Fr	25	0	1	1	0.0400	1	2	0	0	0	0
Samantha Scobee	G	So	10	0	1	1	0.1000	0	0	0	0	0	0
Tori Stocks	D	Fr	21	0	0	0	0.0000	2	4	0	0	0	0
Sydney Helmbrecht	G	Fr	10	0	0	0	0.0000	0	0	0	0	0	0
Courtney Kendall	G	So	8	0	0	0	0.0000	0	0	0	0	0	0
Caroline Kelly	D	Fr	2	0	0	0	0.0000	0	0	0	0	0	0
