Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Deana Wiegand	F	So	25	13	12	25	1.0000	3	4	2	0
Courtney Bills	F	So	25	11	11	22	0.8800	1	2	0	0
Stephanie Price	F	So	24	8	13	21	0.8750	0	3	1	0
Kelly Bills	F	Fr	25	10	7	17	0.6800	2	1	0	0
Katie Juliano	F	Sr	23	7	10	17	0.7391	2	3	1	0
Lindsay Pemble	F	So	22	5	9	14	0.6364	0	0	1	0
Mandy Finkle	F	Jr	23	4	10	14	0.6087	0	1	1	0
Kristen MacDonald	D	So	23	5	8	13	0.5652	0	1	1	0
Michelle Tesoro	D	Jr	23	5	7	12	0.5217	2	2	0	0
Katie Moss	D	So	24	3	5	8	0.3333	2	1	0	0
Melissa Lomanto	F	Sr	25	1	7	8	0.3200	0	1	0	0
Courtney Bank	D	So	21	3	4	7	0.3333	1	1	0	0
Bethany Torrice	F	Sr	24	2	2	4	0.1667	0	0	0	0
Ashley Kaufman	D	Fr	20	1	3	4	0.2000	0	0	0	0
Kayleigh Fauss	D	Fr	16	1	3	4	0.2500	0	0	0	0
Niki Fletcher	F	Jr	22	1	2	3	0.1364	0	0	0	0
Jennifer Williams	F	So	8	0	2	2	0.2500	0	0	0	0
Sarah Kirby	D	Jr	24	1	0	1	0.0417	0	0	0	0
Stephanie Yates	G	So	5	0	1	1	0.2000	0	0	0	0
Kelli Vossler	D	So	25	0	1	1	0.0400	0	0	0	0
Jenn Sinopoli	D	Jr	1	0	1	1	1.0000	0	0	0	0
Emily Smithson	F	Jr	3	0	0	0	0.0000	0	0	0	0
Meredith Cunningham	D	So	2	0	0	0	0.0000	0	0	0	0
Sarah Detwiler	G	Sr	22	0	0	0	0.0000	0	0	0	0
Karen Poole	D	Sr	18	0	0	0	0.0000	0	0	0	0
Alex Talbott	G	So	3	0	0	0	0.0000	0	0	0	0
