Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Andrea Maxon	F	So	26	10	15	25	0.9615	4	8	5	5	0	0
Samantha Rowan	F	Jr	26	13	11	24	0.9231	15	33	3	2	2	0
Kelly Bills	F	Sr	26	8	10	18	0.6923	8	16	4	3	0	0
Samantha Glockling	F	Fr	24	7	11	18	0.7500	12	24	1	3	0	1
Jessica Leclerc	D	Jr	26	2	12	14	0.5385	11	22	0	1	0	0
Jodie Galluzzi	F	Fr	23	10	3	13	0.5652	2	4	0	3	0	0
Michelle Witz	F	Jr	26	7	5	12	0.4615	5	10	0	3	1	0
Lynny Gonzales	F/D	Fr	18	5	7	12	0.6667	1	2	0	1	0	0
Darcy Hier	F	Fr	26	4	6	10	0.3846	4	8	1	0	0	0
Ashley Kaufman	D	Sr	25	2	8	10	0.4000	15	41	0	1	0	1
Tiffany Bichrest	F/D	Fr	25	5	4	9	0.3600	14	39	1	0	0	0
Laura Schnitker	D	Sr	26	1	8	9	0.3462	5	10	0	1	0	0
Meagan Sudik	F	Fr	26	2	6	8	0.3077	2	4	0	1	0	0
Amanda McDonnell	D	Jr	26	0	8	8	0.3077	10	20	0	0	0	0
Krystal Cummings	F	Jr	26	3	4	7	0.2692	6	12	0	0	0	0
Becky Heim	D	Fr	25	2	3	5	0.2000	11	22	0	2	0	0
Ann Rancourt	D	Fr	26	2	1	3	0.1154	14	28	0	0	0	0
Sara George	D	Fr	14	1	2	3	0.2143	3	6	0	0	0	0
Allie Conti	F	Fr	5	2	0	2	0.4000	4	8	2	0	0	0
Kristina Reeves	F	So	22	0	2	2	0.0909	3	6	0	0	0	0
Laurel Simer	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Jill Doherty	G	So	14	0	0	0	0.0000	1	2	0	0	0	0
Kelley Peers	G	Fr	12	0	0	0	0.0000	0	0	0	0	0	0
Laura Szwed	F	Fr	1	0	0	0	0.0000	1	2	0	0	0	0
Jessica Confrancsco	G	Fr	2	0	0	0	0.0000	0	0	0	0	0	0
