Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Megan Myers	F	Jr	25	17	14	31	1.2400	5	10	2	4	1	1
Nicole Schwartz	F	So	27	6	11	17	0.6296	10	20	2	2	0	0
Louise Steele-Norton	F	So	21	7	9	16	0.7619	6	12	1	1	0	0
Morgan Reed	F	Fr	27	6	10	16	0.5926	10	20	1	3	0	0
Meghan McMahon	F	Sr	27	4	11	15	0.5556	5	10	1	0	2	1
Courtney May	D	So	25	0	14	14	0.5600	17	34	0	0	0	0
Carmen Johnson	F	Sr	27	7	6	13	0.4815	7	14	4	0	0	0
Brittany Dellechiaie	F	Jr	27	4	8	12	0.4444	11	22	1	1	0	0
Kelsey Dowdall	F	So	27	7	4	11	0.4074	7	14	1	1	0	0
Meredith Tice	F	Jr	27	3	6	9	0.3333	2	4	1	1	0	0
Mary Fusco	D	Sr	27	1	8	9	0.3333	10	20	0	1	0	0
Vanessa Maines	F	Jr	27	4	3	7	0.2593	8	16	2	0	0	0
Samantha Pucci	D	So	26	0	4	4	0.1538	7	14	0	0	0	0
Kristen Beckman	D	Jr	27	2	1	3	0.1111	6	20	0	1	0	0
Caitlyn Moccaldi	D	Jr	26	2	1	3	0.1154	12	35	0	0	0	0
Meghan Willet	F	Sr	21	0	3	3	0.1429	10	20	0	0	0	0
Nicole Kieffer	D	So	17	0	3	3	0.1765	6	12	0	0	0	0
Lindsay Norton	D	Sr	27	0	2	2	0.0741	1	2	0	0	0	0
Mackenzie Roy	F	Fr	16	0	1	1	0.0625	0	0	0	0	0	0
Jennifer Hamel	G	Jr	17	0	0	0	0.0000	2	4	0	0	0	0
Alicia DiCenzo	F	Jr	3	0	0	0	0.0000	0	0	0	0	0	0
Marissa McNamara	G	So	1	0	0	0	0.0000	0	0	0	0	0	0
Marissa Hotaling	G	Sr	10	0	0	0	0.0000	0	0	0	0	0	0
Janessa Haasbeek	D	Fr	4	0	0	0	0.0000	0	0	0	0	0	0
Ashley Ward	D	So	4	0	0	0	0.0000	1	2	0	0	0	0
Madison Christoff	D	So	1	0	0	0	0.0000	0	0	0	0	0	0
