Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Caitlin Barnes	D	Sr	34	0	7	7	0.2059	0	0	0	0
Lindsey Tilbury	F/D	Sr	34	4	2	6	0.1765	2	0	1	0
Kate Hudspeth	F	Sr	32	4	2	6	0.1875	0	1	0	1
Abbey Kaknes	F	Sr	34	3	3	6	0.1765	0	1	0	0
Caroline Donahue	F	So	32	4	1	5	0.1563	1	0	0	0
Kristi Anderson	F	So	31	2	2	4	0.1290	0	0	0	0
Frankie Williams	D	So	27	3	0	3	0.1111	0	0	0	0
Danielle Ramirez	D	Fr	30	2	1	3	0.1000	0	1	0	0
Kate Lesniak	D	So	34	2	1	3	0.0882	0	2	0	0
Gabe Worzella	F	Jr	34	1	2	3	0.0882	0	0	0	0
Sarah Smiddy	F	Fr	24	1	2	3	0.1250	0	0	0	0
Karen Sentoff	F	So	30	1	2	3	0.1000	0	0	0	0
Jenny Hogan	F	Jr	26	1	2	3	0.1154	0	1	0	0
Ashley Keane	D	Jr	34	0	3	3	0.0882	0	0	0	0
Kattie Anderson	F	Jr	31	0	3	3	0.0968	0	0	0	0
Hilary Johnson	F	Sr	15	2	0	2	0.1333	0	1	0	0
Jessica Murphy	F	Fr	33	1	1	2	0.0606	0	0	0	0
Stephanie Tewksbury	F	So	25	0	2	2	0.0800	0	0	0	0
Diana Fink	F	So	8	0	1	1	0.1250	0	0	0	0
Kristen Norris	F	Jr	34	0	1	1	0.0294	0	0	0	0
Katelyn Nichols	G	Jr	17	0	0	0	0.0000	0	0	0	0
Shivaun Siegl	G	Jr	12	0	0	0	0.0000	0	0	0	0
Jenilee Roy	G	So	11	0	0	0	0.0000	0	0	0	0
Ashley Richter	D	Fr	27	0	0	0	0.0000	0	0	0	0
