Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Celeste Doucet	F	Sr	33	5	11	16	0.4848	13	37	0	2	1	1
Erin Wente	F	So	31	8	4	12	0.3871	9	18	1	2	0	0
Chelsea Rapin	F	Jr	33	5	6	11	0.3333	7	14	1	4	0	0
Emily Walsh	F	So	32	4	7	11	0.3438	7	14	1	2	0	0
Kailey Nash	F	Jr	33	3	7	10	0.3030	25	61	0	1	0	1
Peggy Wakeham	D	Sr	33	6	3	9	0.2727	9	18	0	3	0	0
Saleah Morrison	D	Sr	33	2	6	8	0.2424	14	28	1	1	0	0
Lindsey Cashman	F	Sr	31	2	5	7	0.2258	4	8	1	0	1	0
Jul Sifers	F	Sr	33	2	4	6	0.1818	7	14	1	0	0	0
Teddy Fortin	F	Sr	33	4	1	5	0.1515	14	28	1	2	0	0
Kellie Dineen	F	Fr	31	2	2	4	0.1290	11	22	0	0	0	0
Hannah Westbrook	D	Sr	31	0	3	3	0.0968	13	26	0	0	0	0
Breanne Sundquist	F/D	Fr	33	1	1	2	0.0606	3	6	0	0	0	0
Valerie Stoul	F	Fr	30	0	2	2	0.0667	1	2	0	0	0	0
Danielle Rancourt	D	Fr	33	0	2	2	0.0606	6	12	0	0	0	0
Megan Dalbec	D	Fr	32	0	1	1	0.0313	5	10	0	0	0	0
Roxanne Douville	G	Fr	22	0	0	0	0.0000	0	0	0	0	0	0
Kelci Lanthier	G	So	11	0	0	0	0.0000	0	0	0	0	0	0
