Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Kelly Zamora	C	Jr	34	8	18	26	0.7647	1	3	0	1
Emily McGrath-Agg	F	So	33	15	6	21	0.6364	4	4	1	1
Kim Spaulding	F	Sr	34	9	9	18	0.5294	1	1	1	0
Jessica Haydahl	F	So	34	7	7	14	0.4118	1	1	0	0
Katie Jones	F	Sr	33	7	6	13	0.3939	4	3	0	0
Joanie Denby	D	Sr	34	4	9	13	0.3824	0	2	0	0
Heidi Burns	F	Jr	34	4	9	13	0.3824	1	0	0	0
Jessica Snelgrove	F	So	30	4	7	11	0.3667	1	2	0	0
Cheryl Anderson	F	Jr	34	2	5	7	0.2059	0	0	0	0
Laurie Petchar	F	Sr	34	4	2	6	0.1765	1	0	0	0
Rachael Benninger	D	So	34	0	5	5	0.1471	0	0	0	0
Kristi Thome	D	So	34	1	3	4	0.1176	0	0	0	0
Peyton Patterson	D	So	32	1	3	4	0.1250	0	0	0	0
Naomi Kupferstein	F	So	33	1	2	3	0.0909	0	0	0	0
Melissa Wenzel	D	Sr	23	1	2	3	0.1304	1	0	0	0
Lindsey Akers	F	Sr	30	0	3	3	0.1000	0	0	0	0
Krissy Langley	D	Sr	28	0	2	2	0.0714	0	0	0	0
Brooke Needer	F	Sr	34	1	0	1	0.0294	0	0	0	0
Amie Hickerty	F	Jr	21	0	1	1	0.0476	0	0	0	0
Tina Thibideau	G	Jr	10	0	1	1	0.1000	0	0	0	0
Katrina Kleinschmit	D	Fr	8	0	0	0	0.0000	0	0	0	0
Katrina Hodgeson	G	So	1	0	0	0	0.0000	0	0	0	0
Anna VanderMarliere	G	Sr	25	0	0	0	0.0000	0	0	0	0
