Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Julie Ingratta	F	So	30	11	10	21	0.7000	7	14	3	4	0	0
Jill Szandzik	D	Jr	31	3	17	20	0.6452	12	24	2	2	0	0
Alyssa Baldin	F	Jr	31	12	7	19	0.6129	13	26	1	4	0	1
Veronique Laramee-Paquette	F	Jr	31	5	10	15	0.4839	17	34	0	2	0	0
Gina Buquet	F	So	30	5	9	14	0.4667	11	33	0	3	0	0
Micheline Frappier	F	Jr	27	5	6	11	0.4074	8	16	0	4	0	0
Cari Coen	D	Fr	31	2	9	11	0.3548	17	34	1	2	0	0
Adrianna Pfeffer	F	Sr	31	3	6	9	0.2903	17	45	0	1	0	0
Julie Hebert	F	So	16	3	5	8	0.5000	0	0	1	1	0	0
Lauren Ragen	F	Jr	10	4	2	6	0.6000	0	0	0	3	0	0
Lauren Coxon	F	So	30	2	1	3	0.1000	15	30	0	0	0	0
Jaclyn Stapleton	F	So	31	2	1	3	0.0968	3	6	0	0	0	0
Ciara Lee	D	Jr	31	0	3	3	0.0968	5	10	0	0	0	0
Katie Gaskin	D	Fr	29	0	3	3	0.1034	7	14	0	0	0	0
Rachel Hardwick	F	Fr	13	0	2	2	0.1538	1	2	0	0	0	0
Lauren Lovold	D	So	31	1	0	1	0.0323	11	22	0	0	0	0
Jenaya Townsend	D	So	13	0	1	1	0.0769	9	18	0	0	0	0
Delayne Brian	G	Jr	31	0	1	1	0.0323	1	2	0	0	0	0
Lisa Marshall	G	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
