Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Hannah Jackson	D	So	22	6	9	15	0.6818	0	2	1	0
Jessica Fischer	F	Jr	23	8	6	14	0.6087	0	4	0	0
Amanda Nickels	F	Jr	24	8	4	12	0.5000	1	0	0	0
Conner Brannen	F	Fr	23	5	7	12	0.5217	0	2	0	1
Julia Kazmers	D	Jr	24	4	5	9	0.3750	1	0	0	0
Adrienne Shea	F	Jr	24	1	7	8	0.3333	0	0	0	0
Antoinette Zosherafatain	F	Fr	23	3	3	6	0.2609	0	0	0	0
Julia Cohen	F	So	24	2	4	6	0.2500	0	1	0	0
Jaime Wendel	D	Sr	24	2	4	6	0.2500	1	0	0	0
Danielle Bugge	F	Sr	24	2	0	2	0.0833	1	0	0	0
Molly Adams	D	Sr	24	2	0	2	0.0833	0	1	1	0
Erin Fitzsimmons	D	Fr	22	0	2	2	0.0909	0	0	0	0
Izzy Huston	F	Fr	24	0	2	2	0.0833	0	0	0	0
Eliza Worthley	D	So	24	0	2	2	0.0833	0	0	0	0
Lila Bolke	F	Jr	24	1	0	1	0.0417	0	0	0	0
Rachel Stemerman	G	So	19	0	0	0	0.0000	0	0	0	0
Sandie Weisberger	D	Fr	22	0	0	0	0.0000	0	0	0	0
Alix Strasnick	G	Fr	2	0	0	0	0.0000	0	0	0	0
Megan Willey	D	Sr	24	0	0	0	0.0000	0	0	0	0
Hilary Schreiber	G	So	7	0	0	0	0.0000	0	0	0	0
