Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Cici Frattasio	F	Jr	24	7	7	14	0.5833	2	4	1	4	0	1
Abigail Rutt	D	Sr	23	4	5	9	0.3913	14	31	0	2	1	1
Ellery Sarosi	F	Sr	23	5	3	8	0.3478	8	16	0	2	0	0
Jessica Brennan	F	Sr	23	4	3	7	0.3043	13	26	1	0	0	0
Gina Mangiafridda	F/D	So	19	3	4	7	0.3684	10	20	0	0	0	0
Hailey Sholty	F	Sr	23	4	1	5	0.2174	5	10	1	3	0	0
Rachel Aronow	F	Sr	24	3	2	5	0.2083	5	10	0	1	0	0
Jackie Kilar	D	So	24	1	4	5	0.2083	11	22	1	0	0	0
Alex Horton	F	Jr	24	2	2	4	0.1667	2	4	1	0	0	0
Alexis Banquer	F	Fr	21	3	0	3	0.1429	2	4	0	0	0	0
Bridget Sherman	F	So	13	2	1	3	0.2308	1	2	0	0	0	0
Allie Damren	F	Fr	8	1	2	3	0.3750	5	10	0	0	0	0
Kendall Carr	D	So	24	1	2	3	0.1250	14	28	1	1	0	0
Samantha Curran	D	Sr	24	1	2	3	0.1250	6	12	1	0	0	0
Alicia Nickolenko	F	Fr	19	0	3	3	0.1579	0	0	0	0	0	0
Caroline Seibold	D	Fr	13	0	2	2	0.1538	3	6	0	0	0	0
Grace Keogh	F	So	16	0	2	2	0.1250	0	0	0	0	0	0
Madeline Carroll	D	Sr	24	0	2	2	0.0833	15	30	0	0	0	0
Sarah Goss	D	So	23	0	1	1	0.0435	4	8	0	0	0	0
Allegra Grant	G	Fr	18	0	0	0	0.0000	1	2	0	0	0	0
Maddie Nash	F	Jr	19	0	0	0	0.0000	1	2	0	0	0	0
Colleen Castro	F	Fr	7	0	0	0	0.0000	2	4	0	0	0	0
Katherine Flaherty	F	So	6	0	0	0	0.0000	0	0	0	0	0	0
Miranda Nestor	D	Fr	8	0	0	0	0.0000	0	0	0	0	0	0
Sam Smith	G	Fr	6	0	0	0	0.0000	0	0	0	0	0	0
