Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Krista Federow	F	So	25	12	10	22	0.8800	2	4	1	2	1	1
Rebecca Begley	D	So	25	8	7	15	0.6000	24	48	3	4	0	0
Stephanie Hampton	F	Fr	25	5	7	12	0.4800	7	25	2	2	0	0
Maura Mulligan	F	Fr	25	1	10	11	0.4400	2	4	0	1	0	0
Tess Madarasz	F	Fr	25	2	7	9	0.3600	1	2	0	0	0	1
Kiley Fewster	F	So	25	5	2	7	0.2800	6	12	1	0	1	0
Hedi Droste	D	So	22	0	7	7	0.3182	7	14	0	0	0	0
Catherine Linehan	F	So	23	4	2	6	0.2609	6	12	0	1	0	0
Grace Durham	F	So	25	3	3	6	0.2400	1	2	0	0	1	0
Egan Sachs-Hecht	F	Fr	25	2	3	5	0.2000	9	18	0	0	0	0
Laura Rollins	D	Fr	25	2	3	5	0.2000	11	22	0	1	0	1
Lindsay Brown	F	Fr	23	2	2	4	0.1739	5	10	1	0	0	0
Dori Craig	F	So	5	2	2	4	0.8000	2	4	0	1	0	0
Emily Burton	D	So	23	1	2	3	0.1304	5	10	0	1	0	0
Morgan Bayreuther	F	So	24	0	3	3	0.1250	4	8	0	0	0	0
Rachel McKay	F	So	25	0	2	2	0.0800	5	10	0	0	0	0
Rachael Barry	F	Fr	22	1	0	1	0.0455	2	4	0	0	0	0
Rachel Carranza	D	Fr	4	0	1	1	0.2500	1	2	0	0	0	0
Molly Eden	F	Fr	13	0	1	1	0.0769	0	0	0	0	0	0
Lizzy Weingast	F	So	13	0	0	0	0.0000	0	0	0	0	0	0
Emily Spencer	G	So	3	0	0	0	0.0000	0	0	0	0	0	0
Sarah Garrett	F	So	25	0	0	0	0.0000	1	2	0	0	0	0
Fallon Adair	F	Fr	3	0	0	0	0.0000	0	0	0	0	0	0
Laurel Brown	G	So	12	0	0	0	0.0000	0	0	0	0	0	0
Maggie Salmon	G	So	14	0	0	0	0.0000	0	0	0	0	0	0
