Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Ashley Wood	F	Sr	25	14	17	31	1.2400	2	7	1	0
Anna Condino	F	Sr	25	15	13	28	1.1200	2	6	1	0
Abigail Taylor	F	Sr	23	8	9	17	0.7391	0	3	0	0
Tracey Ferriter	F	Fr	25	6	9	15	0.6000	1	1	0	1
Torrey Taussig	F/D	Fr	25	7	7	14	0.5600	0	0	0	0
Joey Lye	D	So	25	6	8	14	0.5600	1	3	0	0
Mallory Green	D	So	25	5	9	14	0.5600	0	3	0	0
Taya Latham	F	Sr	25	3	9	12	0.4800	1	0	0	0
Allie Morrow	F	Jr	18	4	6	10	0.5556	1	1	1	0
Caralyn Quan	F	Jr	18	6	3	9	0.5000	0	0	0	0
Kait O'Brien	D	Fr	24	3	5	8	0.3333	0	0	0	0
Elspeth MacMillan	F	Jr	23	1	6	7	0.3043	0	0	0	0
Catherine Mullen	F	So	19	1	3	4	0.2105	0	0	0	0
Sarah Nowakowski	F	Jr	18	0	3	3	0.1667	0	0	0	0
Jen Kim	D	Sr	24	1	1	2	0.0833	0	0	0	0
Hannah Cunningham	F/D	Fr	24	0	2	2	0.0833	0	0	0	0
Sam Tarnasky	F	So	1	0	0	0	0.0000	0	0	0	0
Kate Schwed	G	So	1	0	0	0	0.0000	0	0	0	0
Denise McCulloch	G	Jr	25	0	0	0	0.0000	0	0	0	0
