Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Sam Tarnasky	F	Jr	24	10	11	21	0.8750	16	32	0	3	1	1
Tracey Ferriter	F	So	23	8	9	17	0.7391	10	20	1	2	1	0
Caralyn Quan	F	Sr	24	9	4	13	0.5417	11	22	1	2	2	0
Kait O'Brien	D	So	22	3	8	11	0.5000	15	30	0	1	0	0
Joey Lye	D	Jr	24	3	6	9	0.3750	10	20	0	2	0	0
Allison Page	F	Fr	24	2	7	9	0.3750	10	20	0	1	0	0
Torrey Taussig	F/D	So	24	4	3	7	0.2917	6	12	0	0	0	0
Allie Morrow	F	Sr	23	2	4	6	0.2609	3	6	1	1	0	0
Mallory Green	D	Jr	23	1	4	5	0.2174	7	14	0	1	0	0
Catherine Mullen	F	Jr	24	3	1	4	0.1667	0	0	0	0	0	0
Lauren Zurek	D	Fr	24	1	3	4	0.1667	16	32	0	0	0	0
Sarah Nowakowski	F	Sr	24	2	0	2	0.0833	9	18	0	1	0	0
Stephanie Berger	F	Fr	22	1	1	2	0.0909	3	6	1	0	0	0
Jacqueline Berglass	D	Fr	17	0	2	2	0.1176	8	16	0	0	0	0
Elspeth MacMillan	F	Sr	17	1	0	1	0.0588	5	10	1	0	0	0
Erin Mandigo	F	Fr	24	0	1	1	0.0417	4	8	0	0	0	0
Mimi McClatchy	F	Fr	24	0	0	0	0.0000	5	10	0	0	0	0
Elizabeth Laurin	G	So	7	0	0	0	0.0000	0	0	0	0	0	0
Denise McCulloch	G	Sr	19	0	0	0	0.0000	0	0	0	0	0	0
Kate Schwed	G	Jr	2	0	0	0	0.0000	0	0	0	0	0	0
