Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Sara Bauer	F	Fr	34	8	25	33	0.9706	0	1	0	0
Lindsay Macy	F	Fr	33	18	13	31	0.9394	3	3	0	0
Meghan Hunter	F	Sr	32	12	16	28	0.8750	1	2	1	0
Karen Rickard	F	Sr	34	15	10	25	0.7353	3	3	0	1
Jackie Friesen	F	Jr	32	14	11	25	0.7813	5	5	1	0
Molly Engstrom	D	Jr	34	5	19	24	0.7059	1	2	0	0
Carla MacLeod	D	Jr	28	5	18	23	0.8214	3	1	1	0
Sharon Cole	F	So	34	7	10	17	0.5000	1	3	0	0
Steph Millar	F	Sr	34	7	9	16	0.4706	1	2	0	0
Nikki Burish	F	So	30	9	6	15	0.5000	2	2	0	1
Meaghan Mikkelson	F	Fr	32	7	7	14	0.4375	3	1	0	0
Amy Vermeulen	F	Jr	31	6	6	12	0.3871	1	0	0	0
Nicole Uliasz	D	Jr	34	3	8	11	0.3235	1	1	0	0
Bobbi-Jo Slusar	D	Fr	27	3	7	10	0.3704	0	1	0	0
Kristen Witting	D	Fr	33	0	4	4	0.1212	0	0	0	0
Kathryn Greaves	F	Sr	32	1	2	3	0.0938	0	1	0	0
Grace Hutchins	F	So	31	1	1	2	0.0645	0	0	0	0
Heidi Kletzien	F	Fr	24	0	2	2	0.0833	0	0	0	0
Stephanie Boeckmann	F	Sr	14	1	0	1	0.0714	0	0	0	0
Leah Federman	F	Jr	3	0	1	1	0.3333	0	0	0	0
Phoebe Monteleone	F	Fr	24	0	1	1	0.0417	0	0	0	0
Christine Dufour	G	Fr	16	0	0	0	0.0000	0	0	0	0
Jessica Bernal	G	So	2	0	0	0	0.0000	0	0	0	0
Meghan Horras	G	So	18	0	0	0	0.0000	0	0	0	0
