Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Brooke Ammerman	F	So	35	20	18	38	1.0857	22	44	6	4	0	0
Mallory Deluce	F	Jr	32	13	19	32	1.0000	13	26	2	3	0	1
Brianna Decker	F	Fr	27	15	12	27	1.0000	10	20	3	4	1	0
Carolyne Prï¿½vost	F	So	32	11	15	26	0.8125	0	0	3	2	1	1
Jasmine Giles	F	Sr	36	12	13	25	0.6944	24	56	0	4	1	1
Kelly Nash	F	Jr	35	5	18	23	0.6571	20	40	1	3	0	0
Geena Prough	D/F	Jr	33	8	9	17	0.5152	2	4	0	2	0	0
Saige Pacholok	D	Fr	36	3	13	16	0.4444	19	38	0	1	0	0
Stefanie McKeough	D	Fr	36	1	14	15	0.4167	13	37	0	0	0	0
Kyla Sanders	F	Sr	34	5	6	11	0.3235	11	22	0	0	0	0
Breann Frykas	F	Fr	36	7	1	8	0.2222	10	20	1	0	0	0
Anne Dronen	D	Jr	36	1	6	7	0.1944	21	42	1	0	0	0
Brittany Haverstock	D	So	36	0	7	7	0.1944	14	28	0	0	0	0
Alev Kelter	D	Fr	22	1	5	6	0.2727	10	20	1	1	0	0
Emily Kranz	F	Sr	36	2	3	5	0.1389	2	4	0	0	0	0
Malee Windmeier	D	Jr	12	2	2	4	0.3333	7	14	0	0	1	0
Maria Evans	F	Jr	34	0	2	2	0.0588	0	0	0	0	0	0
Lauren Unser	F	Fr	27	1	0	1	0.0370	0	0	0	0	0	0
Olivia Jakiel	D	Jr	9	0	1	1	0.1111	0	0	0	0	0	0
Derya Kelter	F	Fr	20	0	0	0	0.0000	1	2	0	0	0	0
Carla Pentimone	F	Jr	17	0	0	0	0.0000	0	0	0	0	0	0
Becca Ruegsegger	G	Fr	21	0	0	0	0.0000	0	0	0	0	0	0
Alannah McCready	G	Sr	17	0	0	0	0.0000	0	0	0	0	0	0
