Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Annie Pankowski	F	Jr	34	25	29	54	1.5882	15	30	4	4	2	1
Sarah Nurse	F	Sr	37	25	28	53	1.4324	13	26	2	3	3	2
Emily Clark	F	Jr	37	20	26	46	1.2432	17	34	9	3	0	0
Sydney McKibbon	F	Sr	38	13	19	32	0.8421	3	6	3	4	1	0
Abby Roque	F	Fr	38	8	19	27	0.7105	19	38	1	4	0	0
Sam Cogan	F	So	34	11	15	26	0.7647	8	16	1	2	1	1
Jenny Ryan	D	Sr	38	7	18	25	0.6579	7	14	2	3	0	0
Baylee Wellhausen	F	Jr	38	15	7	22	0.5789	4	8	3	0	1	0
Presley Norby	F	Fr	38	6	15	21	0.5526	6	12	1	0	0	0
Sophia Shaver	F	So	36	3	15	18	0.5000	2	4	0	0	0	0
Maddie Rolfes	D	Jr	38	3	13	16	0.4211	8	16	0	2	0	0
Mikaela Gardner	D	So	38	3	13	16	0.4211	11	22	1	1	0	0
Mellissa Channell	D	Sr	34	2	14	16	0.4706	10	20	1	0	0	0
Mekenzie Steffen	D	Fr	38	4	10	14	0.3684	15	30	2	2	0	0
Alexis Mauermann	F	Fr	38	7	5	12	0.3158	6	12	1	2	0	0
Lauren Williams	D	Jr	38	1	7	8	0.2105	2	4	1	0	0	0
Mikayla Johnson	F	Sr	38	1	4	5	0.1316	2	4	0	0	0	0
Maddie Rowe	D	Fr	38	2	0	2	0.0526	3	6	0	0	0	0
Ann-Renée Desbiens	G	Sr	33	0	1	1	0.0303	0	0	0	0	0	0
Nikki Cece	G	Fr	5	0	0	0	0.0000	0	0	0	0	0	0
