Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Amanda Schultz	F	Fr	25	14	5	19	0.7600	1	4	0	0
Christa Hubert	F	So	25	7	6	13	0.5200	1	1	2	0
Claire Parda	F	Fr	25	8	3	11	0.4400	3	2	1	0
Jen Mead	D	Sr	25	1	10	11	0.4400	0	0	0	0
Connie Cameron	F	Sr	25	4	5	9	0.3600	0	1	1	0
Jamie Hewitt	F	So	18	4	4	8	0.4444	0	0	0	0
Sarah Zollars	F	Jr	25	2	6	8	0.3200	0	1	0	0
Kristi Hawkinson	F	So	25	3	2	5	0.2000	1	1	0	0
Crystal Wasem	D	Fr	24	1	4	5	0.2083	0	1	0	0
Jackie Peplinski	D	So	21	3	1	4	0.1905	1	2	0	0
Jessie Boyles	F	Fr	25	1	1	2	0.0800	1	0	0	0
Megan Oswall	F	Fr	22	1	1	2	0.0909	0	0	0	0
Laura Brackey	F	Fr	20	1	1	2	0.1000	0	0	0	0
Ashley Dreis	D	Fr	16	1	0	1	0.0625	0	1	0	0
Jess Schmidt	D	Sr	25	0	1	1	0.0400	0	0	0	0
Becky Koenck	D	Fr	21	0	1	1	0.0476	0	0	0	0
Tara Berlute	G	So	14	0	0	0	0.0000	0	0	0	0
Megan Christoperson	F	Jr	25	0	0	0	0.0000	0	0	0	0
JoAnne Koenck	D	Jr	9	0	0	0	0.0000	0	0	0	0
Sara Stienhoff	G	Fr	11	0	0	0	0.0000	0	0	0	0
Melissa White	D	Fr	24	0	0	0	0.0000	0	0	0	0
