Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Laura Suppes	F	Sr	25	10	11	21	0.8400	3	5	0	0
Martina Korinek	F	Sr	25	10	9	19	0.7600	2	2	1	1
Lauren Havard	F	So	25	7	10	17	0.6800	0	1	0	0
Beth Dittrich	F	Fr	21	8	8	16	0.7619	5	3	1	0
Margaret Campbell	F	So	25	7	9	16	0.6400	0	4	1	0
Michelle Stohr	D	Fr	25	8	6	14	0.5600	1	5	0	0
Karen Hebert	F	Sr	25	8	6	14	0.5600	2	0	2	0
Allison Campbell	D	Sr	25	1	12	13	0.5200	0	1	0	0
Tara Hayner	F/D	Sr	25	4	3	7	0.2800	0	3	0	0
Amanda Alioto	F/D	Fr	25	3	1	4	0.1600	0	0	0	0
Amber Stevenson	F	Sr	25	1	3	4	0.1600	0	0	0	0
Hannah Kinney	D	Fr	23	0	3	3	0.1304	0	0	0	0
Theresa Guindon	F	Jr	25	0	2	2	0.0800	0	0	0	0
Kelly Ivey	D	Jr	25	0	2	2	0.0800	0	0	0	0
Megan Wurdelman	F	Fr	25	0	1	1	0.0400	0	0	0	0
Heather Prochaska	G	Jr	1	0	0	0	0.0000	0	0	0	0
Bri Lutz	G	Fr	14	0	0	0	0.0000	0	0	0	0
Krista Milliken	D	Fr	16	0	0	0	0.0000	0	0	0	0
Becky Washleski	F	So	23	0	0	0	0.0000	0	0	0	0
Mikaela Jobman	G	Fr	16	0	0	0	0.0000	0	0	0	0
Emily Schmitz	D	Fr	10	0	0	0	0.0000	0	0	0	0
