Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Kristin Faber	F	So	25	13	12	25	1.0000	22	44	1	6	0	0
Lauren Havard	F	Sr	23	8	13	21	0.9130	17	34	2	2	0	0
Beth Dittrich	F	Jr	26	8	9	17	0.6538	6	12	3	1	0	0
Christine Dickinson	F	So	25	4	12	16	0.6400	8	16	0	1	0	0
Toni Simones	F	Fr	26	6	9	15	0.5769	5	10	0	3	0	0
Jackie McKay	D	Fr	24	4	4	8	0.3333	6	12	1	4	0	0
Kelli Johnson	D	So	26	3	5	8	0.3077	16	32	0	1	0	0
Maddi Hammer	D	So	24	4	3	7	0.2917	14	28	0	1	0	0
Taylor Jenkins	F	Fr	18	4	2	6	0.3333	11	22	0	1	0	0
Shannon Nelson	F	So	24	3	3	6	0.2500	13	26	1	0	0	0
Meghan Lorenz	F	So	26	2	4	6	0.2308	10	20	1	0	0	0
Margaret Campbell	F	Sr	18	4	1	5	0.2778	2	4	1	1	1	0
Lynne Erspamer	F	Fr	25	3	2	5	0.2000	12	30	1	2	0	0
Michelle Rust	F/D	Fr	16	1	2	3	0.1875	5	10	1	0	0	0
Molly Anderson	D	Fr	22	0	2	2	0.0909	3	6	0	0	0	0
Katie Ward	F	Fr	25	0	0	0	0.0000	0	0	0	0	0	0
Lea Jondal	G	Fr	3	0	0	0	0.0000	0	0	0	0	0	0
Danika Porter	G	So	6	0	0	0	0.0000	0	0	0	0	0	0
Kelly Auner	D	Fr	24	0	0	0	0.0000	5	10	0	0	0	0
Morgan Pieper	G	Fr	20	0	0	0	0.0000	0	0	0	0	0	0
Brianna Wolf	F	Fr	7	0	0	0	0.0000	0	0	0	0	0	0
Rita Simones	D	So	25	0	0	0	0.0000	3	6	0	0	0	0
Michelle Stohr	D	Jr	6	0	0	0	0.0000	4	8	0	0	0	0
