Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Nikki Kothenbeutel	F	Sr	27	6	5	11	0.4074	14	28	0	1	0	1
Hadley Cookson	F	So	27	5	6	11	0.4074	9	21	1	2	0	0
Paige Dale	F	Fr	27	4	6	10	0.3704	8	16	0	1	0	0
Sam Knutson	F	Jr	26	4	4	8	0.3077	13	26	1	1	1	1
Mariah Czech	F	Fr	27	3	5	8	0.2963	7	14	1	1	0	0
Emily Larson	D	Sr	25	2	5	7	0.2800	12	24	0	1	0	0
Tory Heller	F	So	27	3	3	6	0.2222	6	12	0	1	0	0
Amanda Kane	D	Jr	27	2	4	6	0.2222	22	44	0	1	0	0
Katie Burkey	F	Fr	27	3	2	5	0.1852	7	14	0	1	0	0
Andi Husted	D	Jr	27	1	4	5	0.1852	5	10	0	0	0	0
Ashley Baugher	F	So	27	2	2	4	0.1481	1	2	0	1	0	0
Claudia Gagnon	F	Fr	26	2	1	3	0.1154	14	28	1	0	0	0
Taylor Bowker	F	So	27	1	1	2	0.0741	6	12	0	0	0	1
Karis Volk	D	Fr	25	0	1	1	0.0400	2	4	0	0	0	0
Paige Turner	G	So	22	0	0	0	0.0000	0	0	0	0	0	0
Julia Osowski	F	So	26	0	0	0	0.0000	8	16	0	0	0	0
Alexys Woodward	G	Fr	2	0	0	0	0.0000	0	0	0	0	0	0
Taylor Rudiger	D/F	So	25	0	0	0	0.0000	3	6	0	0	0	0
Kim Van Brunt	G	So	10	0	0	0	0.0000	0	0	0	0	0	0
Paige Sedlar	D	So	22	0	0	0	0.0000	1	2	0	0	0	0
Nina Jacobson	D	Fr	15	0	0	0	0.0000	1	2	0	0	0	0
Emma Silkey	F	Fr	26	0	0	0	0.0000	1	2	0	0	0	0
