Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Ali Slinden	F	Fr	30	20	10	30	1.0000	3	3	0	0
Lou Paulson	F	Fr	29	10	13	23	0.7931	3	4	0	0
Lindsay O'Keefe	F	Fr	30	11	10	21	0.7000	0	2	0	0
Meghan Wahlstrom-Ramler	F	So	30	5	15	20	0.6667	2	2	0	1
Lindsy Carlson	D	Jr	29	8	10	18	0.6207	0	6	0	0
Jodi Hensch	D	Jr	30	6	12	18	0.6000	2	2	0	0
Heather Egeness	F	So	29	6	8	14	0.4828	4	1	0	0
Leah Baron	F	Fr	30	5	9	14	0.4667	0	1	0	0
Jenny Conzemius	F	Sr	30	3	9	12	0.4000	1	0	0	0
Mandy Stokes	F	Sr	30	4	7	11	0.3667	1	0	0	0
Tiff Stencil	F	Fr	29	2	9	11	0.3793	2	0	0	0
Lisa McGuire	F	So	30	7	1	8	0.2667	1	0	0	0
Katie Hiscock	D	So	30	1	6	7	0.2333	1	0	0	0
Rachel Goodwin	D	Jr	29	3	2	5	0.1724	0	1	0	0
Beth Betker	D	Jr	30	3	1	4	0.1333	0	0	0	0
Laura Berg	D	So	29	0	1	1	0.0345	0	0	0	0
Courtney Canniff	F	Jr	4	0	1	1	0.2500	0	0	0	0
Jenny Jannett	G	Fr	1	0	0	0	0.0000	0	0	0	0
Elisha Best	F	Jr	3	0	0	0	0.0000	0	0	0	0
Natalie Olson	G	Fr	3	0	0	0	0.0000	0	0	0	0
Marlene Yaeger	G	So	28	0	0	0	0.0000	0	0	0	0
Annie Shanahan	F	So	28	0	0	0	0.0000	0	0	0	0
