Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Dani Sibley	F	Sr	29	27	38	65	2.2414	11	22	5	7	4	1
Carly Moran	F	Jr	29	22	29	51	1.7586	10	20	7	7	2	0
Hailey Herdine	F	Fr	27	11	21	32	1.1852	2	4	2	5	0	0
Paige Johnson	D	Sr	29	5	17	22	0.7586	4	8	1	2	0	0
Haley Nielsen	D	So	28	10	10	20	0.7143	5	10	2	4	0	0
Lydia Wagner	F	Sr	28	4	9	13	0.4643	4	8	1	4	0	0
Amy Auran	F	Jr	28	6	6	12	0.4286	10	20	1	0	0	1
Bella Wagner	F	Fr	19	7	4	11	0.5789	2	4	1	4	1	0
Jessie Anderson	F	So	25	4	7	11	0.4400	5	10	2	1	0	0
Payton Rudiger	F	Fr	23	6	4	10	0.4348	3	6	0	0	0	1
Erica Schramel	D	Fr	25	1	8	9	0.3600	1	2	0	1	0	0
Izzy Brosseau	D	So	24	1	6	7	0.2917	1	2	0	0	0	0
Jillayne Gilbert	F	So	25	2	4	6	0.2400	3	6	0	1	0	0
Carina Randazzo	D	Sr	27	2	4	6	0.2222	13	26	0	0	0	0
Ashley Effertz	F/D	So	24	2	4	6	0.2500	6	12	0	0	0	0
Dani Kocina	F	Jr	24	5	0	5	0.2083	3	6	2	0	1	1
Kathryn Larson	F	Fr	22	3	2	5	0.2273	1	2	0	0	0	0
Emily Stark	F	Sr	29	3	2	5	0.1724	10	20	1	0	0	1
Victoria Holman	F	So	19	2	2	4	0.2105	3	6	0	0	0	0
Julia Stelljes	F/D	Fr	21	1	2	3	0.1429	5	10	1	0	0	0
Kayla Oberding	D	So	12	0	1	1	0.0833	4	8	0	0	0	0
Kendra Carlson	G	So	2	0	0	0	0.0000	0	0	0	0	0	0
Maja Wessling	F	Fr	5	0	0	0	0.0000	0	0	0	0	0	0
Angie Hall	G	Jr	24	0	0	0	0.0000	0	0	0	0	0	0
Tatyana Delaittre	G	Fr	6	0	0	0	0.0000	0	0	0	0	0	0
