Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Nicole Grossmann	F	Fr	30	16	9	25	0.8333	5	4	3	0
Kim Lunneborg	F	Sr	30	10	10	20	0.6667	5	2	1	0
Katy Lankey	F	So	30	10	7	17	0.5667	2	3	0	0
Tracy Truckey	F	Sr	30	11	3	14	0.4667	2	2	0	0
Jackie Drews	F	Fr	30	7	6	13	0.4333	1	2	0	0
Michelle Sosnowski	F	Fr	29	5	8	13	0.4483	0	1	0	1
Lauren Kellin	D	So	30	4	9	13	0.4333	1	2	0	0
Madison Darud	F	Fr	27	8	4	12	0.4444	1	3	0	0
Jesse Suter	F	So	30	7	4	11	0.3667	0	1	0	0
Chris Hanson	D	Jr	29	2	7	9	0.3103	2	1	0	0
Jenna Daggit	F	Fr	30	4	4	8	0.2667	1	2	0	0
Jamie Lewandowski	D	So	30	1	6	7	0.2333	0	1	0	0
Hilary Bulger	F	Sr	12	3	3	6	0.5000	0	0	0	0
Trish Piskula	F	Fr	30	1	4	5	0.1667	1	1	0	0
Nicole Greeneway	D	Fr	30	1	3	4	0.1333	0	1	0	0
Rachael Graves	D	Fr	30	1	1	2	0.0667	0	0	0	0
Jamie Law	F	Fr	9	0	2	2	0.2222	0	0	0	0
Korryn Brooks	D	So	4	1	0	1	0.2500	0	0	0	0
Amy Statz	G	Jr	27	0	0	0	0.0000	0	0	0	0
Janelle Korbas	G	So	1	0	0	0	0.0000	0	0	0	0
Julie LaClair	G	Jr	5	0	0	0	0.0000	0	0	0	0
