Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Erin Marvin	F	Sr	27	16	15	31	1.1481	15	30	4	7	0	0
Cassandra Salmen	F	So	27	10	10	20	0.7407	21	42	1	3	0	0
Brooke Hanson	F	Jr	27	9	11	20	0.7407	4	8	1	2	0	0
Allie Tanzer	F	So	27	8	7	15	0.5556	6	12	1	3	1	0
Michelle Lunneborg	F	Jr	27	8	6	14	0.5185	14	28	2	3	0	0
Nicole Schaub	D	Fr	27	1	11	12	0.4444	10	20	0	1	0	0
Erika Greenen	F	Sr	27	6	3	9	0.3333	5	10	2	2	1	0
Megan Nickelson	F/D	So	27	2	6	8	0.2963	14	28	0	1	0	0
Ariel Novak	D	Sr	27	1	7	8	0.2963	23	46	1	1	0	0
Hannah Smith	F	Fr	27	2	3	5	0.1852	7	14	0	1	0	0
Ava Plamondon	D	So	25	2	2	4	0.1600	20	40	1	0	0	0
Morgan Pearson	F	Fr	25	2	0	2	0.0800	4	8	0	0	0	0
Sam Lorr	F	So	27	2	0	2	0.0741	4	8	0	0	0	0
Janel Winters	F/D	So	27	0	2	2	0.0741	3	6	0	0	0	0
Steph Lepak	D	So	27	0	2	2	0.0741	2	4	0	0	0	0
Chelsea Pomeroy	F	Fr	17	0	1	1	0.0588	0	0	0	0	0	0
Emily Meyer	F	Fr	27	0	1	1	0.0370	0	0	0	0	0	0
Sierra Dart	G	Jr	1	0	1	1	1.0000	0	0	0	0	0	0
Janna Beilke-Skoug	G	Fr	24	0	0	0	0.0000	0	0	0	0	0	0
Johanna Sommers	G	Fr	6	0	0	0	0.0000	0	0	0	0	0	0
Sam Phephles	F	Fr	25	0	0	0	0.0000	1	2	0	0	0	0
