Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Erin Kegley	F	Jr	27	23	22	45	1.6667	5	7	3	0
Jamie McClintock	F	Fr	28	17	10	27	0.9643	1	3	1	0
Ashley Jenkins	F	Jr	28	13	14	27	0.9643	3	5	1	0
Alicia Cowieson	F	Fr	28	11	16	27	0.9643	3	2	0	0
Lindsay Bennett	F	Jr	28	10	15	25	0.8929	1	3	0	0
Vi Theofylatos	F	Jr	28	13	10	23	0.8214	4	3	1	0
Gina Baranzelli	F	So	28	5	7	12	0.4286	1	0	0	0
Caitlin Jarrett	D	Jr	28	2	10	12	0.4286	0	0	0	0
Tara Evoy	D	Sr	28	1	10	11	0.3929	1	1	0	0
Hally Sharrow	F	So	28	5	5	10	0.3571	2	0	0	0
Nadine Aubin	D	Sr	25	3	7	10	0.4000	0	2	0	0
Stacy Anderson	F	Jr	6	3	6	9	1.5000	1	1	0	0
Kyla Thibideau	F	Jr	27	3	5	8	0.2963	0	0	0	0
Susie Crabb	D	Jr	28	2	6	8	0.2857	0	2	0	0
Rae Hannah	F	So	28	2	2	4	0.1429	0	0	0	0
Kacey Vandamme	F	Fr	28	1	2	3	0.1071	0	0	0	0
Gretchen Dahl	F	Sr	27	2	0	2	0.0741	0	0	0	0
Rikki Nespor	G	Fr	13	0	0	0	0.0000	0	0	0	0
Tahnee Horton	D	Fr	10	0	0	0	0.0000	0	0	0	0
Kristy Faechner	G	Sr	15	0	0	0	0.0000	0	0	0	0
