Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Dani Schultz	F	Sr	27	10	15	25	0.9259	11	22	2	3	0	0
Hailey Adair	F	So	27	8	17	25	0.9259	13	26	1	2	0	0
Karen Larson	F	Jr	27	10	13	23	0.8519	5	10	2	2	1	1
Haley Olmstead	F	Sr	27	14	8	22	0.8148	13	26	1	5	1	0
Kiara De Kezel	F	Sr	27	11	10	21	0.7778	14	36	2	0	1	0
Lynne Larson	F	Jr	27	8	13	21	0.7778	3	6	1	0	0	0
Mikayla Goodin	F	Fr	25	7	11	18	0.7200	3	6	0	2	0	0
Emily Heid	D	Fr	27	4	12	16	0.5926	8	16	1	2	0	0
Maggie Cragg	D	Fr	27	3	9	12	0.4444	9	18	1	0	0	0
Amanda Coey	F	So	27	4	4	8	0.2963	8	16	2	0	0	0
Leah Elledge	F	So	11	3	3	6	0.5455	2	4	2	0	0	0
Pamela McLeod	D	So	23	1	5	6	0.2609	8	16	0	0	0	0
Saige Patrick	D	Fr	24	1	3	4	0.1667	18	36	0	0	0	0
Kelly Cockerill	F	Fr	26	1	2	3	0.1154	1	2	0	0	0	0
Rebekah Hakk	D	Fr	13	0	3	3	0.2308	5	10	0	0	0	0
Jessica Marsalla	F	Fr	23	1	0	1	0.0435	0	0	0	0	0	0
Brooklyn Gillanders	D	Fr	27	0	1	1	0.0370	10	20	0	0	0	0
Lexie Weiss	F	Fr	27	0	1	1	0.0370	10	20	0	0	0	0
Caitlin Hunt	D	Jr	27	0	1	1	0.0370	17	34	0	0	0	0
Rebecca Hurst	F	Fr	1	0	0	0	0.0000	0	0	0	0	0	0
Gina Marsalla	D	Fr	3	0	0	0	0.0000	0	0	0	0	0	0
Kim Kobar	G	So	12	0	0	0	0.0000	0	0	0	0	0	0
Kari Miller	F	Fr	10	0	0	0	0.0000	0	0	0	0	0	0
Megan Leikkari	G	Jr	14	0	0	0	0.0000	0	0	0	0	0	0
Sky Brown	G	Fr	4	0	0	0	0.0000	0	0	0	0	0	0
