Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	GWG	PPG	SHG	ENG
Natalie Babony	F	Fr	31	12	17	29	0.9355	2	0	0	0
Deena Caplette	F	Fr	31	9	18	27	0.8710	3	2	0	0
Deanna McDevitt	F	Sr	31	13	12	25	0.8065	1	3	0	1
Nicole Symington	F	So	31	8	16	24	0.7742	0	1	0	1
Erin Duggan	F/D	So	30	8	12	20	0.6667	0	4	0	0
Lisa Jacque	F	So	30	7	12	19	0.6333	0	0	0	0
Suzanne McGoey	F	Fr	31	6	8	14	0.4516	2	0	0	0
Kaitlin Porcaro	D	Sr	31	3	8	11	0.3548	0	1	0	0
Erika Hockinson	D	Jr	30	3	4	7	0.2333	0	1	0	0
Alison Turney	D	So	31	2	3	5	0.1613	1	0	0	0
Wallis Finger	F	Jr	31	0	4	4	0.1290	0	0	0	0
Rory Neuner	F	Sr	31	0	3	3	0.0968	0	0	0	0
Kristin Kattleman	F/D	Jr	31	1	1	2	0.0645	0	0	0	0
Kirsten Wick	D	So	25	0	1	1	0.0400	0	0	0	0
Linda Dix-Cooper	D	Fr	27	0	1	1	0.0370	0	0	0	0
Sarah Love	G	Fr	28	0	0	0	0.0000	0	0	0	0
Amanda Webb	D	Fr	14	0	0	0	0.0000	0	0	0	0
Nicolette Franck	G	Jr	9	0	0	0	0.0000	0	0	0	0
Amy LeClair	D	Sr	13	0	0	0	0.0000	0	0	0	0
Karin Tilly	F	Sr	9	0	0	0	0.0000	0	0	0	0
