Name	Pos	Year	GP	G	A	Pts.	Pt/Gm	PEN	PIM	GWG	PPG	SHG	ENG
Crysti Howser	F	Jr	29	10	19	29	1.0000	18	36	1	3	0	0
Sarah Tittman	F	Jr	30	12	9	21	0.7000	7	14	1	4	0	0
Bray Ketchum	F	Fr	31	9	11	20	0.6452	5	10	1	4	0	0
Helen Resor	D	Jr	27	8	8	16	0.5926	34	76	1	3	0	0
Maggie Westfal	F	Jr	26	6	8	14	0.5385	9	18	1	3	0	0
Mandi Schwartz	F	So	31	4	10	14	0.4516	20	40	1	1	0	0
Alyssa Clarke	D	So	30	5	7	12	0.4000	27	54	1	2	1	1
Caroline Murphy	F/D	So	31	4	8	12	0.3871	0	0	2	0	1	1
Samantha MacLean	D	Fr	31	2	6	8	0.2581	10	20	1	0	0	0
Danielle Kozlowski	F/D	Jr	25	3	4	7	0.2800	20	40	0	2	0	0
Berit Johnson	D	So	31	1	5	6	0.1935	9	18	0	0	1	0
Kristen Stupay	F	Jr	29	2	3	5	0.1724	10	20	0	0	0	0
Denise Soesilo	F	So	8	3	1	4	0.5000	1	2	0	2	0	0
Carlee Ness	D	Jr	28	0	2	2	0.0714	13	26	0	0	0	0
Carry Resor	D	Jr	31	0	2	2	0.0645	4	8	0	0	0	0
Ann-Renée Guillemette	D	Sr	29	0	2	2	0.0690	2	4	0	0	0	0
Lili Rudis	F/D	Fr	30	1	0	1	0.0333	3	6	1	0	0	0
Jackee Snikeris	G	Fr	16	0	0	0	0.0000	0	0	0	0	0	0
Shivon Zilis	G	Sr	17	0	0	0	0.0000	0	0	0	0	0	0
